V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7_5	Q7_6	Q7_7	Q7_8	Q7_9	Q7_10	Q7_11	Q7_12	Q7_13	Q7_14	Q7_16	Q7_17	Q7_18	Q7_20	Q7_21	Q7_22	Q7_23	Q7_24	Q7_25	Q7_26	Q7_27	Q8	Q9	Q10	Q11	Q12_1	Q12_2	Q12_3	Q12_5	Q12_6	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q14	Q15	LocationLatitude	LocationLongitude	LocationAccuracy
R_00o9pBTtKwjfwln	Default Response Set	Anonymous			103.24.124.110	0	3/5/2016 9:11	3/5/2016 9:15	1	1	2	4	4	2	3	2	1	2	2	2	3	1	3	2	4	3	4	4	4	2	1	1	1	1			5		2	4					1			1			1							17.37530518	78.47439575	-1
R_6XnpnvACS7auinX	Default Response Set	Anonymous			125.99.251.4	0	3/5/2016 9:36	3/5/2016 9:44	1	1	2	2	3	1	1	1	1	1	1	3	3	4	1	1	2	2	2	1	1	1	1	3	3	4	4	4	4	While chatting with friends i comment my feelings by social media	4	4			1						1			1				Yaa / Mostly some classes I missed  from college are sent by social media by my friends	Ya  / I can be contact my relatives  dailyy	12.98330688	77.58331299	-1
R_82LeKFkBfgAPLA9	Default Response Set	Anonymous			183.83.235.34	0	3/5/2016 10:44	3/5/2016 10:45	1																																																	17.37530518	78.47439575	-1
R_5p9TB6tO1TncUW9	Default Response Set	Anonymous			113.193.146.29	0	3/5/2016 11:32	3/5/2016 11:37	1	1	2	2	4	2	2	1																					4		1	2		1						1							1	Sometimes it is bad. One should know how to use wisely and rarely	Ignoring relationships around us 	13.08329773	80.28329468	-1
R_3KJqfjJtAI9pTA9	Default Response Set	Anonymous			113.193.146.29	0	3/5/2016 11:50	3/5/2016 11:56	1	1	2	1	4	2	2			2				1		3				4									1		1	4					1				1					1		Hahaha spending less time with books getting sometimes F(fail)grade..	Knowing what happen all thing in the world	13.08329773	80.28329468	-1
R_cYZuStortPUo9pj	Default Response Set	Anonymous			141.216.171.44	0	3/5/2016 17:50	3/5/2016 17:53	1		3	3	6	2	1							1		2	2		2	3				1	1		1		2		2	3			1	1			1	1	1		1	1						43.01379395	-83.68830109	-1
R_3gBPwn9wNgi1hQN	Default Response Set	Anonymous			141.216.171.44	0	3/5/2016 19:37	3/5/2016 19:44	1	2	3	3	6	2	1							1		2	2		2	3				1	1		1		2		2	3			1	1			1	1	1		1	1						43.01379395	-83.68830109	-1
R_6Rwj19170twxObr	Default Response Set	Anonymous			93.35.50.140	0	3/5/2016 19:40	3/5/2016 19:46	1	1	2	4	5	2	2	2	1	1	3	3	3	1	2	2	2	2	2	1	4	4	3	1	1	1	1	1	2	I met my old friend	2	4		1								1		1				Helps in  gaining knowledge	Helps in knowing events and news around the world	45.46429443	9.189498901	-1
R_6yOVDfoBHuxi7Gt	Default Response Set	Anonymous			203.217.145.237	0	3/5/2016 23:13	3/5/2016 23:16	1																																																	17.37530518	78.47439575	-1
R_bOxVTaMsQtJUxTv	Default Response Set	Anonymous			125.99.251.4	0	3/5/2016 23:16	3/5/2016 23:20	1	1	2	2	3	1	2	1	2	3	3	2	1	1	2	1	3	4	4	3	2	1	1	2	2	2	2	2	2	Good	4	4			1						1					1		Good	Good	12.98330688	77.58331299	-1
R_0vwUCj3xWZfK9md	Default Response Set	Anonymous			59.99.198.38	0	3/5/2016 23:46	3/5/2016 23:52	1	1	2	2	3	1	2	2	1	1	2	2		1							4				1		1		2	Dat Girl... Never forgets to make me happy	1	4					1					1					1	"It helps during exams... Sharing the notes, questions and screenshots"	It helped me get better and better	12.86390686	74.83529663	-1
R_54lvBDNfPKRhAPP	Default Response Set	Anonymous			187.168.52.151	0	3/5/2016 23:50	3/5/2016 23:52	1	2	2	1	4	1	2	2	1	2	2	2	2	1	2	2	2	3	3	4	4	4	4	1	1	3	1	3	1	I have many funny moments	2	4					1					1	1							19.05000305	-98.80000305	-1
R_9BSNGsy3yKSXTUN	Default Response Set	Anonymous			106.76.226.206	0	3/5/2016 23:48	3/5/2016 23:55	1	1	2	2	5	2	1								1	1	1	1	1			1		1	1	1			4		2	5		1					1					1						13.08329773	80.28329468	-1
R_1B8EfB2l7SMfIQl	Default Response Set	Anonymous			59.99.158.69	0	3/6/2016 7:16	3/6/2016 7:17	1	2	2	2	4	2	2	1	1																				2		2	4	1							1	1		1							17.37530518	78.47439575	-1
